cookie,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,priority,Flow Bytes/s,Flow Packets/s,Average Packet Size,switch,timestamp,collection_time,label
0x0,15.212,3,238,1,15.645542992374441,0.1972127267946358,79.33333333333333,s1,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.211,2,140,1,9.203865623561896,0.1314837946223128,70.0,s1,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.199,3,238,1,15.658924929271663,0.19738140667149154,79.33333333333333,s1,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.197,2,140,1,9.212344541685859,0.13160492202408372,70.0,s1,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.183,3,238,1,15.675426463808206,0.19758940920766646,79.33333333333333,s1,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.182,2,140,1,9.221446449743116,0.13173494928204452,70.0,s1,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.172,3,238,1,15.686791457948852,0.19773266543633009,79.33333333333333,s1,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.169,2,140,1,9.229349330872173,0.13184784758388818,70.0,s1,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.308,43,3226,0,210.73948262346485,2.808988764044944,75.02325581395348,s1,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.236,2,140,1,9.188763454975058,0.13126804935678654,70.0,s2,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.227,3,238,1,15.63013068890786,0.1970184540618638,79.33333333333333,s2,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.223,2,140,1,9.196610392169744,0.13138014845956775,70.0,s2,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.212,3,238,1,15.645542992374441,0.1972127267946358,79.33333333333333,s2,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.207,2,140,1,9.206286578549351,0.13151837969356217,70.0,s2,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.202,3,238,1,15.655834758584398,0.19734245494013947,79.33333333333333,s2,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.195,2,140,1,9.213557091148404,0.1316222441592629,70.0,s2,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.183,3,238,1,15.675426463808206,0.19758940920766646,79.33333333333333,s2,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.18,2,140,1,9.22266139657444,0.13175230566534915,70.0,s2,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,15.334,43,3226,0,210.3821572975088,2.804225903221599,75.02325581395348,s2,2025-03-12 16:42:56,1741777976.6786304,BENIGN
0x0,20.279,2,140,1,6.903693476009665,0.0986241925144238,70.0,s1,2025-03-12 16:43:01,1741777981.7420213,BENIGN
